inhal,DB update status,Curator,level1,level2,level3,level4,level5,level6,level7,level8,PARENT TERMS (optional),HAS_FOR,TERM,DEFINITION,Mapping,EXACT SYNONYMS,BROAD SYNONYMS,NARROW SYNONYMS,RELATED SYNONYMS,DB_SYNONYMS,ASSOCIATED PROCESS,ASSOCIATED ROLE,ASSOCIATED PHYSIOLOGICAL EFFECT,ASSOCIATED BIOLOGICAL LOCATION,TERM SOURCE,ORIGINAL_DEFINITION_SOURCE,SOURCE_OF_DEFINITION,COMMENT,SUGGESTED MAIN TERM
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Digestive System Disorder; Viral Infection,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatitis A,"A viral infectious disease that results in inflammation located in liver, has material basis in Hepatitis A virus, which is transmitted by ingestion of contaminated food or water, or transmitted by direct contact with an infected person. The infection has symptom fever, has symptom fatigue, has symptom loss of appetite, has symptom nausea, has symptom vomiting, has symptom abdominal pain, has symptom clay-colored bowel movements, has symptom joint pain, and has symptom jaundice. (DO)",liver,,,,,DOID:12549,,,,,,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Digestive System Disorder; Viral Infection,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatitis B,"A viral infectious disease that results in inflammation located in liver, has material basis in Hepatitis B virus, which is transmitted by sexual contact, transmitted by blood transfusions, and transmitted by fomites like needles or syringes. The infection has symptom fever, has symptom fatigue, has symptom loss of appetite, has symptom nausea, has symptom vomiting, has symptom abdominal pain, has symptom clay-colored bowel movements, has symptom joint pain, and has symptom jaundice. (DO)",liver,,,,,DOID:2043,,,,,,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Digestive System Disorder; Viral Infection,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatitis C,"A viral infectious disease that results in inflammation. located in liver, has material basis in Hepatitis C virus, which is transmitted by blood from an infected person enters the body of an uninfected person. The infection has symptom fever, has symptom fatigue, has symptom loss of appetite, has symptom nausea, has symptom vomiting, has symptom abdominal pain, has symptom clay-colored bowel movements, has symptom joint pain, and has symptom jaundice. (DO)",liver,,,,,DOID:1883,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder; Nervous System Disorder,Hepatobiliary Disorder; CNS Disorder,Hepatic Disorder,,,,Hepatic coma,A disorder characterized by a decline of brain function due to severe liver disease.,liver; brain,Coma hepaticum; hepatic encephalopathy,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder; Nervous System Disorder,Hepatobiliary Disorder; CNS Disorder,Hepatic Disorder,,,,Hepatic encephalopathy,"A brain disease that is characterized by loss of brain function, the occurrence of confusion, altered level of consciousness, and coma that results when the liver is unable to remove toxins from the blood. (DO)",liver; brain,Portosystemic encephalopathy; Hepatoencephalopathy,,,,DOID:13413,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder; Circulatory System Disorder,Hepatobiliary Disorder; Cardiovascular Disorder,Hepatic Disorder; Vascular Disorder,,,,Portal vein obstruction,A disorder characterized by a blockage or narrowing of the portal vein.,portal vein,PVT; Portal vein thrombosis.,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder; Circulatory System Disorder; Hematological System Disorder,Hepatobiliary Disorder; Cardiovascular Disorder,Hepatic Disorder; Vascular Disorder,,,,Portal flow reversal,A disorder characterized by blood leaving the liver through the portal venous which normally supplies it.,liver; portal vein,,,,,,,,,,,NCI thesaurus,,,
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder,Adrenal Disorder; Metabolic Disorder,Metabolic Hormonal Aberration,,,,Addison's Disease,"A phenotype of adrenoleukodystrophy, showing adrenal cortical hypofunction that is characterized by insufficient steroid hormone production by the adrenal glands.",Adrenal gland,Hypocorticism; Hypocortisolism; Chronic adrenal insufficiency; Addison-Schilder Disease; Addisons disease (DOID:13774); primary adrenal insufficiency,,,,,,,Adrenoleukodystrophy,,HMDB,Disease Ontology (DO),TMIC team,,
Modify,20-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder,Adrenal Disorder; Metabolic Disorder,Metabolic Hormonal Aberration,,,,Adrenal insufficiency,"A disorder that occurs when the adrenal cortex does not produce enough of the hormone cortisol and in some cases, the hormone aldosterone. It may be due to a disorder of the adrenal cortex as in Addison's disease or primary adrenal insufficiency. (NCI CTCAE)",Adrenal gland,,,,,,,,,,,NCI CTCAE,,,
Modify,03/19/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Genetic Disorder,Adrenal Disorder; Inborn Error of Metabolism,Genetic Hormonal Aberration,,,,Aldosterone biosynthesis defects,"An autosomal recessive (Gene CYP11B2) metabolic disorder characterized by excessive sodium and insufficient potassium concentrations in urine. This imbalance leads to low levels of sodium and high levels of potassium in the blood . Individuals with corticosterone methyloxidase deficiency can also have high levels of acid in the blood . Symptoms include nauysea, vomiting, dehydration, low blood pressure, fatique, muscle weakness, and seizures and comas in severe cases.",,CORTICOSTERONE METHYLOXIDASE TYPE II DEFICIENCY; coriticosterone methyloxidase deficiency; aldosterone methyloxidase deficiency;,,,,,,,,,,HMDB,,,
Modify,03/19/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Genetic Disorder,Adrenal Disorder; Inborn Error of Metabolism,Genetic Hormonal Aberration,,,,Aldosteronism,"An autosomal dominant (Gene CYP11B1) hormonal disorder characterized by hypertension, variable hyperaldosteronism, and abnormal adrenal steroid production, including 18-oxocortisol and 18-hydroxycortisol . (OMIM)",Adrenal gland,Hyperaldosteronism; Conn’s syndrome; Primary aldosteronism; Glucocorticoid-remediable aldosteronism; HALD1; FH 1; GRA; ,,,,,,,,,,HMDB,,Seems like Primary might be the better time but possibly not,Primary aldosteronism
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder; Female Reproductive System Disorder; Male Reproductive System Disorder,Ovarian Disorder; Testicular Disorder; Metabolic Disorder,Metabolic Hormonal Aberration,,,,Hypogonadism,A gonadal disease that is characterized by diminished functional activity of the gonads. (DO),teste; ovary,IHH,,,,DOID:1924,,,,,HMDB,Disease Ontology (DO),,Hypo/hyper organ disorder innately a horomonal aberration? Id say yes,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder; Female Reproductive System Disorder; Male Reproductive System Disorder,Ovarian Disorder; Testicular Disorder; Metabolic Disorder; Adrenal disorder,Metabolic Hormonal Aberration,,Premature Adrenarche,,Premature pubarche,A disorder characterized by the early appearance of pubic hair.,,Pubarche,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder; Female Reproductive System Disorder; Male Reproductive System Disorder,Ovarian Disorder; Testicular Disorder; Metabolic Disorder; Adrenal disorder,Metabolic Hormonal Aberration,,,,Hypoprogesteronism,A disorder characterized by decrease progesterone levels or function in the body.,,,,,,,,,,,,NCI thesaurus,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder; Female Reproductive System Disorder; Male Reproductive System Disorder,Ovarian Disorder; Testicular Disorder; Metabolic Disorder; Adrenal disorder,Metabolic Hormonal Aberration,,,,Premature Adrenarche,A disorder characterized by the early appearance of puberty symptoms.,Adrenal gland; adrenal cortex,Adrenarche,,,,,,,,,,NCI thesaurus,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder; Female Reproductive System Disorder; Male Reproductive System Disorder; Integumentary System Disorder,Ovarian Disorder; Testicular Disorder; Metabolic Disorder; Adrenal disorder; Breast Disorder,Metabolic Hormonal Aberration,,Premature Adrenarche,,Premature thelarche,A disorder characterized by the early appearance of breast growth.,,Thelarche,,,,,,,,,,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Genetic Disorder,Inborn Error of Metabolism; Adrenal Disorder,Genetic Hormonal Aberration,,,,Corticosterone methyl oxidase I deficiency,A rare inherited defect of the final step of aldosterone biosynthesis (conversion of deoxycorticosterone to aldosterone). CMO 1 is typically characterized by total suppression of aldosterone synthase with no detectable levels of aldosterone release.,,Corticosterone methyloxidase deficiency type I; Familial hyperreninemic hypoaldosteronism type 1 (ORPHA:99763); 18-hydroxylase deficiency; 18-oxidase deficiency; Aldosterone synthase deficiency; CMO I; CMO 1,,,,,,,,,HMDB,Orphanet; DOI: 10.1210/er.2010-0013,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Genetic Disorder,Inborn Error of Metabolism; Adrenal Disorder,Genetic Hormonal Aberration,,,,Corticosterone methyl oxidase II deficiency,"A rare inherited defect of the final step of aldosterone biosynthesis (conversion of deoxycorticosterone to aldosterone). In CMO 2 some degree of aldosterone synthase activity persists, and low to normal levels of aldosterone may be observed.",,Corticosterone methyl oxidase deficiency type II; CMO II; CMO 2,,,,,,,,,HMDB,Orphanet; DOI: 10.1210/er.2010-0013,,,
Modify,03/19/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder,Metabolic Disorder,Metabolic Hormonal Aberration,,,,Androgen deficiency,A metabolic disorder characterized by a reduction of male sex hormone activity in both males and females characterized by numerous sexual and/or pubertal developmental defects.,testes; pituuitary gland; hypothalamus,Hypoandrogenism; Androgen deficiency syndrome;,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder,Metabolic Disorder,Metabolic Hormonal Aberration,,,,Hormone imbalance,A disorder characterized by a malfunction one or more hormones in the body.,,Hormonal Imbalance,,,,,,,,,,NCI thesaurus,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder; Immune System Disorder,Pancreatic Disorder; Metabolic Disorder,Metabolic Hormonal Aberration,,Diabetes mellitus,,Diabetes mellitus type 1,A form of diabetes mellitus in which not enough insulin is produced. This is due to autoimmune destruction of the insulin-producing beta cells in the pancreas. Treatment with insulin is neccessary for survival.,pancreas; beta cell,IDDM; T1DM; Type I diabetes; Diabetes mellitus type I; Type 1 diabetes mellitus; Juvenile diabetes mellitus; Juvenile diabetes,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder,Pancreatic Disorder; Metabolic Disorder,Metabolic Hormonal Aberration,,Diabetes mellitus,,Diabetes mellitus type 2,"A form of diabetes mellitus characterized by high-blood sugar, insulin resistance, and relative lack of insulin; typically as a result of obesity and lack of exercise.",,Non-insulin-dependent diabetes mellitus; NIDDM; Adult-onset diabetes,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder,Pancreatic Disorder; Metabolic Disorder,Metabolic Hormonal Aberration,,,,Diabetes mellitus,"A glucose metabolism disease characterized by chronic hyperglycaemia with disturbances of carbohydrate, fat and protein metabolism resulting from defects in insulin secretion, insulin action, or both. (DO)",,DM,,,,DOID:9351,,,,,,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder,Pancreatic Disorder; Metabolic Disorder,Metabolic Hormonal Aberration,,,,Gestational diabetes,"A disorder, occurring in pregnant women, characterized by hyperglycemia.",,GDM; Gestational diabetes mellitus; Maternal diabetes,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder,"Pituitary, Hypothalamus, or Pineal Disorder; Adrenal Disorder",Metabolic Hormonal Aberration,,,,Neurogenic Diabetes Insipidus,A hormonal disorder characterized by large amounts of urine and increased thirst due to a disruption of ADH production by the hypothalamus.,hypothalamus,Central diabetes insipidus,,,,,,,,,human-phenotype-ontology,,,,
Modify,03/19/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Genetic Disorder ,"Pituitary, Hypothalamus, or Pineal Disorder; Inborn Error of Metabolism",Genetic Hormonal Aberration,,,,ACTH deficiency,"An autosomal recessive (Gene TBX19) hormonal disorder resulting in decreased or absent adrenocorticotropic hormone (ACTH) production by the pituitary gland. A decline in the concentration of ACTH in the blood leads to a reduction in the secretion of adrenal hormones, resulting in adrenal insufficiency (NORD)",pituitary gland,"isolated ACTH deficiency; Adrenocorticotropic hormone deficiency, isolated; IAD; ",,,,,,,,,,HMDB,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder,"Pituitary, Hypothalamus, or Pineal Disorder; Metabolic Disorder",Metabolic Hormonal Aberration,,,,Functional hypothalamic amenorrhea,A hormonal disorder characterized by a functional disruption of hypothalamic gonadotropin-releasing hormone (GnRH).,hypothalamus,FHA; Hypothalamic amenorrhea,,,,,,,,,HMDB,,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder,"Pituitary, Hypothalamus, or Pineal Disorder; Metabolic Disorder",Metabolic Hormonal Aberration,,,,Growth hormone deficiency,A finding based on laboratory test results that indicate abnormally low levels of growth hormone in a biological specimen.  (NCI CTCAE),pituitary gland,GHD,,,,,,,,,HMDB,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Endocrine System Disorder; Non-Genetic or Non-Specified Gene Disorder,"Pituitary, Hypothalamus, or Pineal Disorder; Metabolic Disorder",Metabolic Hormonal Aberration,,,,Hypogonadotropic hypogonadism,"A disorder characterized by hypogonadism due to an impaired secretion of gonadotropins, including follicle-stimulating hormone (FSH) and luteinizing hormone (LH), by the pituitary gland in the brain, and in turn decreased gonadotropin levels and a resultant lack of sex steroid production.",pituitary gland; gonad,GNrH deficiency; gonadotropin releasing hormone deficiency; secondary hypogonadism; central hypogonadism; gonadotropin defiency;,,,,,,,,,human-phenotype-ontology,,,changed name to HGTHG instead of gonadotropin defiency because the former is used quite a definitely with adrenal hyperplasia disorders SO this is a pituitary gland disorder which results in hypogonadism so is it a gonadal disorder? Im gonna say no?,
